sim_time_s,latency_s,firing_variance,temporal_consistency,lambda_efficiency,mode,red_present,blue_present
1781113136.445,,0.0,0.0,0.0,C,1,0
1781113136.645,,0.0,0.0,0.0,C,1,0
1781113136.845,,0.0,0.0,0.0,C,1,0
1781113137.045,,0.0,0.0,0.0,C,1,0
1781113137.245,,0.0,0.0,0.0,C,1,0
1781113137.445,,0.0,0.0,0.0,C,1,0
1781113137.645,,0.0,0.0,0.0,C,1,0
1781113137.845,,0.0,0.0,0.0,C,1,0
1781113138.045,,0.0,0.0,0.0,C,1,0
1781113138.245,,0.0,0.0,0.0,C,1,0
1781113138.445,,0.0,0.0,0.0,C,1,0
1781113138.645,,0.0,0.0,0.0,C,1,0
1781113138.845,,0.0,0.0,0.0,C,1,0
1781113139.045,,0.0,0.0,0.0,C,1,0
1781113139.245,,0.0,0.0,0.0,C,1,0
1781113139.445,,0.0,0.0,0.0,C,1,0
1781113139.645,,0.0,0.0,0.0,C,1,0
1781113139.845,,0.0,0.0,0.0,C,1,0
1781113140.045,,0.0,0.0,0.0,C,1,0
1781113140.245,,0.0,0.0,0.0,C,1,0
1781113140.445,,0.0,0.0,0.0,C,1,0
1781113140.645,,0.0,0.0,1.0,H,1,0
1781113140.847,4.5054,0.065164,0.8243,1.0,H,1,0
1781113141.047,4.5054,5.719666,0.5164,1.0,H,1,0
1781113141.246,4.5054,19.856194,0.615,1.0,H,1,0
1781113141.446,4.5054,22.11796,0.6872,1.0,C,1,0
1781113141.647,4.5054,22.850677,0.739,1.0,C,1,0
1781113141.847,4.5054,22.298319,0.8042,1.0,C,1,0
1781113142.046,4.5054,21.765644,0.8259,1.0,C,1,0
1781113142.247,4.5054,21.204994,0.8433,1.0,C,1,0
1781113142.447,4.5054,20.4508,0.8694,1.0,C,1,0
1781113142.647,4.5054,20.113543,0.8792,1.0,C,1,0
1781113142.847,4.5054,19.658379,0.8866,1.0,C,1,0
1781113143.048,4.5054,18.015652,0.8996,1.0,C,1,0
1781113143.248,4.5054,17.249887,0.9054,1.0,C,1,0
1781113143.447,4.5054,16.537971,0.9106,1.0,C,1,0
1781113143.648,4.5054,15.311415,0.9195,1.0,C,1,0
1781113143.848,4.5054,14.768669,0.9233,1.0,C,1,0
1781113144.048,4.5054,14.230259,0.9267,1.0,C,1,0
1781113144.247,4.5054,13.18075,0.9327,1.0,C,1,0
1781113144.448,4.5054,12.705913,0.9354,1.0,C,1,0
1781113144.649,4.5054,12.253532,0.9375,1.0,C,1,0
1781113144.848,4.5054,11.608714,0.9417,1.0,C,1,0
1781113145.048,4.5054,11.561423,0.9435,1.0,C,1,0
1781113145.248,4.5054,11.704992,0.9453,1.0,C,1,0
1781113145.448,4.5054,12.03474,0.9487,1.0,C,1,0
1781113145.649,4.5054,12.207616,0.9502,1.0,C,1,0
1781113145.851,4.5054,12.405955,0.9517,1.0,C,1,0
1781113146.051,4.5054,13.481385,0.9495,1.0,C,0,0
1781113146.249,4.5054,14.419825,0.9445,1.0,C,0,0
1781113146.448,4.5054,15.32559,0.9374,1.0,C,0,0
1781113146.649,4.5054,17.124416,0.9397,1.0,C,0,0
1781113146.85,4.5054,18.071005,0.9403,1.0,C,0,0
1781113147.048,4.5054,18.994656,0.9404,1.0,C,0,0
1781113147.249,4.5054,20.652805,0.9324,1.0,C,0,0
1781113147.449,4.5054,21.374615,0.9232,1.0,H,0,0
1781113147.65,4.5054,22.021749,0.9248,1.0,H,0,0
1781113147.849,4.5054,23.11335,0.928,1.0,H,0,1
1781113148.049,0.1159,23.569262,0.9294,1.0,H,0,1
1781113148.249,0.1159,23.571777,0.933,1.0,H,0,1
1781113148.449,0.1159,23.739614,0.956,1.0,H,0,1
1781113148.649,0.1159,24.053253,0.9609,1.0,H,0,1
1781113148.851,0.1159,24.61944,0.9613,1.0,H,0,1
1781113149.048,0.1159,25.53013,0.9614,1.0,H,0,1
1781113149.249,0.1159,25.810598,0.9614,1.0,H,0,1
1781113149.449,0.1159,25.972378,0.9614,1.0,H,0,1
1781113149.649,0.1159,25.844606,0.9614,1.0,H,0,1
1781113149.85,0.1159,25.505503,0.9614,1.0,H,0,1
1781113150.049,0.1159,24.9088,0.9615,1.0,H,0,1
1781113150.249,0.1159,23.712067,0.962,1.0,H,0,1
